step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1059,0.06858458369970322,0.9769736842105263,,,,,,,,2026-09-21T00:56:27.9360000Z
1060,0.01331672165542841,0.9977728285077951,,,,,,,,2026-09-21T00:56:29.1100000Z
1061,0.00016236701048910618,1,,,,,,,,2026-09-21T00:56:30.5890000Z
1062,8.204777986975387E-05,1,,,,,,,,2026-09-21T00:56:31.7640000Z
1063,0.26421892642974854,0.9496402877697842,,,,,,,,2026-09-21T00:56:32.9450000Z
1064,0.4116114377975464,0.8851224105461394,,,,,,,,2026-09-21T00:56:34.1310000Z
1065,0.1333286017179489,0.958904109589041,,,,,,,,2026-09-21T00:56:35.6140000Z
1066,0.44845253229141235,0.8900709219858156,,,,,,,,2026-09-21T00:56:36.7970000Z
1067,0.4538682997226715,0.8761061946902655,,,,,,,,2026-09-21T00:56:37.9960000Z
1068,0.04840710386633873,0.9849170437405732,,,,,,,,2026-09-21T00:56:39.2150000Z
1069,0.0409654937684536,0.9934782608695653,,,,,,,,2026-09-21T00:56:40.6970000Z
1070,0.22195523977279663,0.9399656946826758,,,,,,,,2026-09-21T00:56:41.9070000Z
1071,0.000822288217023015,1,,,,,,,,2026-09-21T00:56:43.1180000Z
1072,0.054126303642988205,0.9829268292682927,,,,,,,,2026-09-21T00:56:44.3220000Z
1073,0.000222744929487817,1,,,,,,,,2026-09-21T00:56:45.5060000Z
1074,0.0003531134279910475,1,,,,,,,,2026-09-21T00:56:46.6880000Z
1075,1.384564995765686,0.7197125256673511,,,,,,,,2026-09-21T00:56:48.1650000Z
1076,0.00030370859894901514,1,,,,,,,,2026-09-21T00:56:49.3400000Z
1077,0.00010853655112441629,1,,,,,,,,2026-09-21T00:56:50.5580000Z
1078,0.16357043385505676,0.948170731707317,,,,,,,,2026-09-21T00:56:51.7350000Z
1079,0.26004481315612793,0.9142857142857143,,,,,,,,2026-09-21T00:56:52.9190000Z
1080,0.06503213942050934,0.975,,,,,,,,2026-09-21T00:56:54.0960000Z
1081,0.00010775818373076618,1,,,,,,,,2026-09-21T00:56:55.5710000Z
1082,0.17351242899894714,0.9533678756476683,,,,,,,,2026-09-21T00:56:56.8010000Z
1083,0.0031372043304145336,1,,,,,,,,2026-09-21T00:56:57.9710000Z
1084,0.00016764402971602976,1,,,,,,,,2026-09-21T00:56:59.1850000Z
1085,0.6612790822982788,0.8317307692307693,,,,,,,,2026-09-21T00:57:00.3640000Z
1086,0.13610997796058655,0.9666666666666667,,,,,,,,2026-09-21T00:57:01.5800000Z
1087,0.30199891328811646,0.9274509803921569,,,,,,,,2026-09-21T00:57:03.0680000Z
1088,0.4705979824066162,0.8882978723404256,,,,,,,,2026-09-21T00:57:04.2860000Z
1089,0.0887470543384552,0.978,,,,,,,,2026-09-21T00:57:05.4670000Z
1090,0.055184122174978256,0.983451536643026,,,,,,,,2026-09-21T00:57:06.6950000Z
1091,0.8522346019744873,0.7768860353130016,,,,,,,,2026-09-21T00:57:07.8860000Z
1092,0.6716058254241943,0.8515850144092219,,,,,,,,2026-09-21T00:57:09.0810000Z
1093,0.45651474595069885,0.8844765342960289,,,,,,,,2026-09-21T00:57:10.2940000Z
1094,0.05913808196783066,0.9844559585492227,,,,,,,,2026-09-21T00:57:11.4710000Z
1095,0.0312119722366333,0.9919839679358717,,,,,,,,2026-09-21T00:57:12.9930000Z
1096,0.07877463847398758,0.9721030042918455,,,,,,,,2026-09-21T00:57:14.1820000Z
1097,1.0475687980651855,0.7153465346534653,,,,,,,,2026-09-21T00:57:15.3720000Z
1098,0.5175117254257202,0.8768796992481203,,,,,,,,2026-09-21T00:57:16.5580000Z
1099,0.0006635975441895425,1,,,,,,,,2026-09-21T00:57:17.7850000Z
1100,0.09802857041358948,0.9774859287054409,,0.40661960508350803,0.8930957683741648,,,,,2026-09-21T00:57:22.4120000Z
1101,0.7670809030532837,0.8043117744610282,,,,,,,,2026-09-21T00:57:24.9520000Z
1102,0.7018824219703674,0.8243559718969555,,,,,,,,2026-09-21T00:57:26.1430000Z
1103,0.02655731700360775,0.9901477832512315,,,,,,,,2026-09-21T00:57:27.3630000Z
1104,0.12421491742134094,0.9666666666666667,,,,,,,,2026-09-21T00:57:28.5480000Z
1105,0.24205738306045532,0.9361022364217252,,,,,,,,2026-09-21T00:57:29.7650000Z
1106,0.14499397575855255,0.9721518987341772,,,,,,,,2026-09-21T00:57:31.5450000Z
1107,0.0009570506517775357,1,,,,,,,,2026-09-21T00:57:32.4710000Z
1108,0.43432390689849854,0.887468030690537,,,,,,,,2026-09-21T00:57:33.6950000Z
1109,0.00010876956366701052,1,,,,,,,,2026-09-21T00:57:34.9190000Z
1110,0.2881822884082794,0.907035175879397,,,,,,,,2026-09-21T00:57:36.1330000Z
